date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier,yt_pred_mlp_8,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1946-01-01,1095.0249999999996,1444.1986161805128,1197.3892389014293,890,1138.2402635831395,,,,
1946-02-01,1077.3934210526313,1417.7272045877332,1182.2558001361904,992,1250.6692805200878,,,,
1946-03-01,1214.077631578947,1545.5715803337591,1321.1474334396962,979,1282.0046880942198,,,,
1946-04-01,1322.1302631578942,1644.7843762768816,1431.1167703908943,959,1425.2150843147813,,,,
1946-05-01,1385.0249999999996,1698.8392767431951,1495.6374952003112,1110,1564.724162238021,,,,
1946-06-01,1539.498684210526,1844.4731228817673,1651.4464499732094,1546,1531.9319146678752,,,,
1946-07-01,1929.7092105263157,2225.8438084213494,2042.701529446432,1539,2199.885663947847,,,,
1946-08-01,3034.498684210526,3321.793435276575,3148.244838883137,3401,2989.3103428884087,,,,
1946-09-01,2284.7092105263155,2563.1641266766246,2398.918483546481,2092,2535.851832234698,,,,
1946-10-01,1815.656578947368,2085.2716571630012,1930.03825291015,1436,1845.1812415880136,,,,
1946-11-01,1636.1302631578944,1896.9055003584504,1750.3936206583537,1301,1778.866749228924,,,,
1946-12-01,1397.603947368421,1649.5393429107305,1511.458271001618,1287,1539.9901752271946,,,,
1947-01-01,1220.8175438596486,1464.404198859502,1362.5325221780918,1488,1302.4547672028768,,,,
1947-02-01,1203.1859649122805,1438.914991556775,1344.9249807775218,1517,1412.4301273552362,1260.8287581197685,1205.909176660877,,
1947-03-01,1339.870175438596,1567.7415715928537,1481.3748133795784,1707,1441.3439891327464,1360.0203665067072,1282.3323781895376,,
1947-04-01,1447.9228070175434,1667.9365718260287,1588.9346515632096,1729,1582.1649505446528,1434.9276830258295,1273.4332926946756,,
1947-05-01,1510.8175438596486,1722.9736765823943,1651.0781795389416,1788,1719.3167046472042,1488.115979613748,1335.6017470015547,,
1947-06-01,1665.291228070175,1869.5897270110197,1804.5422394120371,2008,1684.1992442443363,1665.903380475544,1497.3697155066309,,
1947-07-01,2055.5017543859644,2251.942616840654,2193.4847259193393,2203,2349.859891679553,1959.1560238786856,1863.9579449148591,,
1947-08-01,3160.291228070175,3348.8744479859324,3296.747744324006,3713,3137.023579763327,2746.777458137372,2894.159199623362,,
1947-09-01,2410.5017543859644,2591.2273436760343,2545.173399889194,2946,2681.336189240794,2630.703128844552,2863.7753410396167,,
1947-10-01,1941.4491228070171,2114.3170784524636,2074.077482088589,2082,1988.468829713254,2093.5975277327284,2029.6152359782673,,
1947-11-01,1761.9228070175436,1926.9331259379655,1892.2494646064,2033,1919.9896794612755,1741.7666614193508,1480.942472020926,,
1947-12-01,1523.39649122807,1680.5491727802978,1651.1630316531543,1937,1678.9805585546246,1677.8859347553464,1537.4542162262412,,
1948-01-01,1346.6100877192978,1496.3962330191223,1500.118501467,1711,1439.3447146133517,1753.5357886832237,1652.0117303249665,,
1948-02-01,1328.9785087719297,1471.889230006448,1480.4244806376842,1775,1547.2517498367224,1739.437567935572,1669.055356603779,,
1948-03-01,1465.662719298245,1601.698014332579,1614.8201357448772,1902,1574.1293976732109,1888.1827194795085,1883.1534693139088,1972.255844928933,1926.0496447515152
1948-04-01,1573.7153508771926,1702.875218855807,1720.358098367527,1846,1712.946256132062,1983.316236258442,1939.4147306052553,1965.2077776186552,1887.2497140495143
1948-05-01,1636.6100877192978,1758.8945279022255,1780.5120527161596,2083,1848.1260182695248,1983.9057651298165,1892.82407431129,2015.5355067383653,1863.4183278324908
1948-06-01,1791.0837719298245,1906.4927826209027,1932.0188408960375,2262,1811.0686768895348,2158.206630463098,2084.893448401107,2424.4744858631075,2265.472730974139
1948-07-01,2181.2942982456134,2289.82787674059,2319.0363576440045,2193,2474.8215543355964,2554.716004430552,2533.9061811109796,2359.0735418264676,2415.9099108447663
1948-08-01,3286.0837719298243,3387.741912175921,3420.4067082232177,3792,3260.1095834181815,3127.6382010032016,3224.9487829434315,3968.0454167379567,3664.9418672998054
1948-09-01,2536.2942982456134,2631.0770121560754,2666.971997896835,2343,2802.5786448824265,3252.5870748991897,3492.9799395664727,2808.073884261493,2984.137382679619
1948-10-01,2067.2416666666663,2155.1489512225576,2194.0480161385403,2313,2107.899848329632,2329.5981921141965,2224.277276172519,1778.0672838479368,1437.8881294894463
1948-11-01,1887.7153508771928,1968.747202998112,2010.4242366325457,2179,2037.6413720403648,2212.224623916176,2132.6864065828877,2014.340903926257,2225.0459394036106
1948-12-01,1649.1890350877188,1723.3454541304968,1767.574343589375,1975,1794.8850360843917,2040.1687921261073,2016.6512439869591,2064.639740338306,2045.7245091726477
1949-01-01,1472.402631578947,1540.174718659374,1614.7986552471782,1880,1553.5340880817632,1933.9856433428845,1838.4356306677512,1946.737616686484,1704.6241813906167
1949-02-01,1454.7710526315786,1516.6499199367522,1593.4057781957022,1930,1659.7581302317456,1924.1423549711633,1896.2684076311295,1920.0382763384189,1902.8991330630233
1949-03-01,1591.4552631578945,1647.4409085529358,1726.134879014617,2060,1684.984895982812,2053.1856895118212,2049.004682792035,1982.7815379669228,2018.8474781187151
1949-04-01,1699.5078947368415,1749.600317366216,1830.03858928287,1843,1822.182983344208,2121.5484272168123,2077.0926070099395,2044.2205330800784,1966.902507671798
1949-05-01,1762.402631578947,1806.6018307026875,1888.5905932109888,2052,1955.776085372182,2138.687668806007,2074.2585815882458,2085.381469378394,2040.8154228500407
1949-06-01,1916.8763157894732,1955.1822897114173,2038.5277329042349,2039,1917.1641948706704,2266.962148436801,2213.790710950878,2220.6510949977437,2189.644815341352
1949-07-01,2307.086842105263,2339.499588121157,2424.0079030994516,2351,2579.394634183177,2466.5137574813493,2433.34039241493,2249.044692701502,1931.9628214173354
1949-08-01,3411.876315789473,3438.3958278465407,3523.8732090597973,3394,3363.1923361201734,3112.618594561917,3251.9181201241045,3762.607581117476,3909.9215692619655
1949-09-01,2662.086842105263,2682.713132116748,2768.965756048429,3581,2904.2031814267966,2846.6459543004894,3016.640934569319,2548.4353384914266,1907.1780330123229
1949-10-01,2193.0342105263153,2207.767275473282,2294.6013335390307,2489,2208.098279704346,2984.594223440351,3097.2310394574856,2640.605934145344,3519.3448277620655
1949-11-01,2013.5078947368415,2022.3477315388895,2109.5694152158144,2468,2136.445809233391,2447.2105980837373,2336.367524001349,2469.6987478975752,2323.4895344115284
1949-12-01,1774.981578947368,1777.928186961327,1865.3436852893049,2134,1892.327590083696,2239.3206142584313,2176.2384981414443,2226.1934964846605,2219.0705779775253
1950-01-01,1598.195175438596,1595.7396557802567,1711.2244619976505,1903,1649.6468698753124,2070.482450931117,1995.8158248486704,2046.4588016074367,2002.4748894882377
1950-02-01,1580.5635964912276,1573.1970613476874,1688.5203519305992,1719,1754.5732508075062,2033.9567299616112,1989.7650353954864,1992.4703447260515,1915.0539780956979
1950-03-01,1717.2478070175434,1704.9702542539237,1819.9705216678208,1617,1778.5344663287506,2029.406107196107,2031.4423562616855,2074.5844593709207,1810.0252129783794
1950-04-01,1825.3004385964907,1808.1118673572569,1922.6276027882636,1818,1914.499114448291,1992.4547221399064,1940.6552377093012,1683.141804259446,1357.5093796269616
1950-05-01,1888.195175438596,1866.0955849837808,1979.9652795024535,2067,2046.8908882223768,2110.0116713746493,2077.573837744582,1980.5450024229012,1986.5326322385731
1950-06-01,2042.6688596491224,2015.658248282563,2128.7203939156525,2457,2007.1097804549431,2224.1421048950897,2178.556972238541,2195.6997235199233,2023.2119432086447
1950-07-01,2432.879385964912,2400.9577509823557,2513.050840764705,2600,2668.203113489494,2698.725168540335,2700.5676431352476,2317.670010183856,2729.258623732332
1950-08-01,3537.668859649122,3500.8361949977916,3611.798725312769,3530,3450.8958201365012,3306.4569679950814,3381.33869825883,3950.1145212137862,3612.1437164702247
1950-09-01,2787.879385964912,2746.1357035580513,2855.8061528229996,2693,2990.833781141104,3577.9127824475627,3732.599047539773,2955.789534250798,3674.0454345615435
1950-10-01,2318.8267543859647,2272.1720512046386,2380.3889127690836,2448,2293.688106104598,2725.543317076077,2701.1937008081422,2185.362043995555,1562.8286294956042
1950-11-01,2139.300438596491,2087.7347115602984,2194.3364788352305,2250,2221.026973307554,2495.2768998701727,2469.3638873067343,2356.6332822085797,2380.871070154204
1950-12-01,1900.7741228070172,1844.2973712727885,1949.1225352319668,1972,1975.9322028197369,2192.076661085717,2177.622693083817,2083.9272758649695,1880.7820386518151
1951-01-01,1723.987719298245,1663.0910443817706,1794.0474001974408,1682,1732.3070422611977,2002.6536193907416,1950.7759584536263,1834.4339849892567,1698.8347702868941
1951-02-01,1706.3561403508768,1641.530654239254,1770.4196803214,1730,1836.321093831203,1840.2046706665633,1781.4902031863971,1632.1512663734024,1456.1350227669136
1951-03-01,1843.0403508771924,1774.286051435543,1900.978542183514,1814,1859.4020909782253,1878.897587188282,1831.8217273083776,1650.0431531642243,1591.0827566140783
1951-04-01,1951.09298245614,1878.4098688289284,2002.776617362731,1900,1994.5186317115108,2021.392437881441,1963.862264144632,1735.5211881898458,1981.6270840454417
